estado;inicio;varinicio;varfim;pt_v;id;vir;inteiro;real;literal;leia;escreva;lit;num;atr;opa;se;ab_p;fc_p;entao;opr;fimse;fim;eof
46;ERRO-46-inicio;ERRO-46-varinicio;ERRO-46-varfim;R22;ERRO-46-id;ERRO-46-vir;ERRO-46-inteiro;ERRO-46-real;ERRO-46-literal;ERRO-46-literal;ERRO-46-escreva;ERRO-46-lit;ERRO-46-num;ERRO-46-atr;R22;ERRO-46-se;ERRO-46-ab_p;R22;ERRO-46-entao;R22;ERRO-46-fimse;ERRO-46-fim;ERRO-46-eof
47;ERRO-47-inicio;ERRO-47-varinicio;ERRO-47-varfim;ERRO-47-pt_v;R27;ERRO-47-vir;ERRO-47-inteiro;ERRO-47-real;ERRO-47-literal;R27;R27;ERRO-47-lit;ERRO-47-num;ERRO-47-atr;ERRO-47-opa;R27;ERRO-47-ab_p;ERRO-47-fc_p;ERRO-47-entao;ERRO-47-opr;R27;R27;ERRO-47-eof
48;ERRO-48-inicio;ERRO-48-varinicio;ERRO-48-varfim;ERRO-48-pt_v;R28;ERRO-48-vir;ERRO-48-inteiro;ERRO-48-real;ERRO-48-literal;R28;R28;ERRO-48-lit;ERRO-48-num;ERRO-48-atr;ERRO-48-opa;R28;ERRO-48-ab_p;ERRO-48-fc_p;ERRO-48-entao;ERRO-48-opr;R28;R28;ERRO-48-eof
49;ERRO-49-inicio;ERRO-49-varinicio;ERRO-49-varfim;ERRO-49-pt_v;R29;ERRO-49-vir;ERRO-49-inteiro;ERRO-49-real;ERRO-49-literal;R29;R29;ERRO-49-lit;ERRO-49-num;ERRO-49-atr;ERRO-49-opa;R29;ERRO-49-ab_p;ERRO-49-fc_p;ERRO-49-entao;ERRO-49-opr;R29;R29;ERRO-49-eof
50;ERRO-50-inicio;ERRO-50-varinicio;ERRO-50-varfim;ERRO-50-pt_v;ERRO-50-id;ERRO-50-vir;ERRO-50-inteiro;ERRO-50-real;ERRO-50-literal;ERRO-50-literal;ERRO-50-escreva;ERRO-50-lit;ERRO-50-num;ERRO-50-atr;ERRO-50-opa;ERRO-50-se;ERRO-50-ab_p;S56;ERRO-50-entao;ERRO-50-opr;ERRO-50-fimse;ERRO-50-fim;ERRO-50-eof
51;ERRO-51-inicio;ERRO-51-varinicio;ERRO-51-varfim;ERRO-51-pt_v;ERRO-51-id;ERRO-51-vir;ERRO-51-inteiro;ERRO-51-real;ERRO-51-literal;ERRO-51-literal;ERRO-51-escreva;ERRO-51-lit;ERRO-51-num;ERRO-51-atr;ERRO-51-opa;ERRO-51-se;ERRO-51-ab_p;ERRO-51-fc_p;ERRO-51-entao;S57;ERRO-51-fimse;ERRO-51-fim;ERRO-51-eof
52;ERRO-52-inicio;ERRO-52-varinicio;R5;ERRO-52-pt_v;ERRO-52-id;ERRO-52-vir;R5;R5;R5;ERRO-52-literal;ERRO-52-escreva;ERRO-52-lit;ERRO-52-num;ERRO-52-atr;ERRO-52-opa;ERRO-52-se;ERRO-52-ab_p;ERRO-52-fc_p;ERRO-52-entao;ERRO-52-opr;ERRO-52-fimse;ERRO-52-fim;ERRO-52-eof
53;ERRO-53-inicio;ERRO-53-varinicio;ERRO-53-varfim;ERRO-53-pt_v;S40;ERRO-53-vir;ERRO-53-inteiro;ERRO-53-real;ERRO-53-literal;ERRO-53-literal;ERRO-53-escreva;ERRO-53-lit;ERRO-53-num;ERRO-53-atr;ERRO-53-opa;ERRO-53-se;ERRO-53-ab_p;ERRO-53-fc_p;ERRO-53-entao;ERRO-53-opr;ERRO-53-fimse;ERRO-53-fim;ERRO-53-eof
54;ERRO-54-inicio;ERRO-54-varinicio;ERRO-54-varfim;ERRO-54-pt_v;R18;ERRO-54-vir;ERRO-54-inteiro;ERRO-54-real;ERRO-54-literal;R18;R18;ERRO-54-lit;ERRO-54-num;ERRO-54-atr;ERRO-54-opa;R18;ERRO-54-ab_p;ERRO-54-fc_p;ERRO-54-entao;ERRO-54-opr;R18;R18;ERRO-54-eof
55;ERRO-55-inicio;ERRO-55-varinicio;ERRO-55-varfim;ERRO-55-pt_v;S45;ERRO-55-vir;ERRO-55-inteiro;ERRO-55-real;ERRO-55-literal;ERRO-55-literal;ERRO-55-escreva;ERRO-55-lit;S46;ERRO-55-atr;ERRO-55-opa;ERRO-55-se;ERRO-55-ab_p;ERRO-55-fc_p;ERRO-55-entao;ERRO-55-opr;ERRO-55-fimse;ERRO-55-fim;ERRO-55-eof
56;ERRO-56-inicio;ERRO-56-varinicio;ERRO-56-varfim;ERRO-56-pt_v;ERRO-56-id;ERRO-56-vir;ERRO-56-inteiro;ERRO-56-real;ERRO-56-literal;ERRO-56-literal;ERRO-56-escreva;ERRO-56-lit;ERRO-56-num;ERRO-56-atr;ERRO-56-opa;ERRO-56-se;ERRO-56-ab_p;ERRO-56-fc_p;S60;ERRO-56-opr;ERRO-56-fimse;ERRO-56-fim;ERRO-56-eof
57;ERRO-57-inicio;ERRO-57-varinicio;ERRO-57-varfim;ERRO-57-pt_v;S45;ERRO-57-vir;ERRO-57-inteiro;ERRO-57-real;ERRO-57-literal;ERRO-57-literal;ERRO-57-escreva;ERRO-57-lit;S46;ERRO-57-atr;ERRO-57-opa;ERRO-57-se;ERRO-57-ab_p;ERRO-57-fc_p;ERRO-57-entao;ERRO-57-opr;ERRO-57-fimse;ERRO-57-fim;ERRO-57-eof
58;ERRO-58-inicio;ERRO-58-varinicio;ERRO-58-varfim;R6;ERRO-58-id;ERRO-58-vir;ERRO-58-inteiro;ERRO-58-real;ERRO-58-literal;ERRO-58-literal;ERRO-58-escreva;ERRO-58-lit;ERRO-58-num;ERRO-58-atr;ERRO-58-opa;ERRO-58-se;ERRO-58-ab_p;ERRO-58-fc_p;ERRO-58-entao;ERRO-58-opr;ERRO-58-fimse;ERRO-58-fim;ERRO-58-eof
59;ERRO-59-inicio;ERRO-59-varinicio;ERRO-59-varfim;R19;ERRO-59-id;ERRO-59-vir;ERRO-59-inteiro;ERRO-59-real;ERRO-59-literal;ERRO-59-literal;ERRO-59-escreva;ERRO-59-lit;ERRO-59-num;ERRO-59-atr;ERRO-59-opa;ERRO-59-se;ERRO-59-ab_p;ERRO-59-fc_p;ERRO-59-entao;ERRO-59-opr;ERRO-59-fimse;ERRO-59-fim;ERRO-59-eof
60;ERRO-60-inicio;ERRO-60-varinicio;ERRO-60-varfim;ERRO-60-pt_v;R25;ERRO-60-vir;ERRO-60-inteiro;ERRO-60-real;ERRO-60-literal;R25;R25;ERRO-60-lit;ERRO-60-num;ERRO-60-atr;ERRO-60-opa;R25;ERRO-60-ab_p;ERRO-60-fc_p;ERRO-60-entao;ERRO-60-opr;R25;ERRO-60-fim;ERRO-60-eof
